,Name,Age,Sex,Pclass,Survived
0,"Allen, Miss. Elisabeth Walton",29.0,female,1,1
1,"Andrews, Miss. Kornelia Theodosia",63.0,female,1,1
2,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",53.0,female,1,1
3,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",18.0,female,1,1
4,"Aubart, Mme. Leontine Pauline",24.0,female,1,1
5,"Barber, Miss. Ellen ""Nellie""",26.0,female,1,1
6,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",50.0,female,1,1
7,"Bazzani, Miss. Albina",32.0,female,1,1
8,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",47.0,female,1,1
9,"Bidois, Miss. Rosalie",42.0,female,1,1
10,"Bishop, Mrs. Dickinson H (Helen Walton)",19.0,female,1,1
11,"Bissette, Miss. Amelia",35.0,female,1,1
12,"Bonnell, Miss. Elizabeth",58.0,female,1,1
13,"Bowerman, Miss. Elsie Edith",22.0,female,1,1
14,"Brown, Mrs. James Joseph (Margaret Tobin)",44.0,female,1,1
15,"Burns, Miss. Elizabeth Margaret",41.0,female,1,1
16,"Carter, Miss. Lucile Polk",14.0,female,1,1
17,"Carter, Mrs. William Ernest (Lucile Polk)",36.0,female,1,1
18,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",33.0,female,1,1
19,"Cherry, Miss. Gladys",30.0,female,1,1
20,"Chibnall, Mrs. (Edith Martha Bowerman)",,female,1,1
21,"Cleaver, Miss. Alice",22.0,female,1,1
22,"Compton, Miss. Sara Rebecca",39.0,female,1,1
23,"Crosby, Miss. Harriet R",36.0,female,1,1
24,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38.0,female,1,1
25,"Dick, Mrs. Albert Adrian (Vera Gillespie)",17.0,female,1,1
26,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",48.0,female,1,1
27,"Endres, Miss. Caroline Louise",38.0,female,1,1
28,"Eustis, Miss. Elizabeth Mussey",54.0,female,1,1
29,"Fleming, Miss. Margaret",,female,1,1
30,"Fortune, Miss. Alice Elizabeth",24.0,female,1,1
31,"Fortune, Miss. Mabel Helen",23.0,female,1,1
32,"Francatelli, Miss. Laura Mabel",30.0,female,1,1
33,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",,female,1,1
34,"Frolicher, Miss. Hedwig Margaritha",22.0,female,1,1
35,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35.0,female,1,1
36,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",,female,1,1
37,"Graham, Miss. Margaret Edith",19.0,female,1,1
38,"Graham, Mrs. William Thompson (Edith Junkins)",58.0,female,1,1
39,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",49.0,female,1,1
40,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",35.0,female,1,1
41,"Hays, Miss. Margaret Bechstein",24.0,female,1,1
42,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",52.0,female,1,1
43,"Hippach, Miss. Jean Gertrude",16.0,female,1,1
44,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",44.0,female,1,1
45,"Hogeboom, Mrs. John C (Anna Andrews)",51.0,female,1,1
46,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",35.0,female,1,1
47,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",35.0,female,1,1
48,"Icard, Miss. Amelie",38.0,female,1,1
49,"Kenyon, Mrs. Frederick R (Marion)",,female,1,1
50,"LeRoy, Miss. Bertha",30.0,female,1,1
51,"Leader, Dr. Alice (Farnham)",49.0,female,1,1
52,"Lines, Miss. Mary Conover",16.0,female,1,1
53,"Longley, Miss. Gretchen Fiske",21.0,female,1,1
54,"Lurette, Miss. Elise",58.0,female,1,1
55,"Madill, Miss. Georgette Alexandra",15.0,female,1,1
56,"Maioni, Miss. Roberta",16.0,female,1,1
57,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",24.0,female,1,1
58,"Meyer, Mrs. Edgar Joseph (Leila Saks)",,female,1,1
59,"Minahan, Miss. Daisy E",33.0,female,1,1
60,"Newell, Miss. Madeleine",31.0,female,1,1
61,"Newell, Miss. Marjorie",23.0,female,1,1
62,"Newsom, Miss. Helen Monypeny",19.0,female,1,1
63,"Pears, Mrs. Thomas (Edith Wearne)",22.0,female,1,1
64,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",17.0,female,1,1
65,"Perreault, Miss. Anne",30.0,female,1,1
66,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",56.0,female,1,1
67,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",43.0,female,1,1
68,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",33.0,female,1,1
69,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",54.0,female,1,1
70,"Ryerson, Miss. Emily Borie",18.0,female,1,1
71,"Ryerson, Miss. Susan Parker ""Suzette""",21.0,female,1,1
72,"Sagesser, Mlle. Emma",24.0,female,1,1
73,"Serepeca, Miss. Augusta",30.0,female,1,1
74,"Shutes, Miss. Elizabeth W",40.0,female,1,1
75,"Silvey, Mrs. William Baird (Alice Munger)",39.0,female,1,1
76,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",40.0,female,1,1
77,"Spencer, Mrs. William Augustus (Marie Eugenie)",,female,1,1
78,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",52.0,female,1,1
79,"Stone, Mrs. George Nelson (Martha Evelyn)",62.0,female,1,1
80,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",48.0,female,1,1
81,"Taussig, Miss. Ruth",18.0,female,1,1
82,"Taussig, Mrs. Emil (Tillie Mandelbaum)",39.0,female,1,1
83,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",,female,1,1
84,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",39.0,female,1,1
85,"Thorne, Mrs. Gertrude Maybelle",,female,1,1
86,"Ward, Miss. Anna",35.0,female,1,1
87,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",60.0,female,1,1
88,"Wick, Miss. Mary Natalie",31.0,female,1,1
89,"Wick, Mrs. George Dennick (Mary Hitchcock)",45.0,female,1,1
90,"Young, Miss. Marie Grice",36.0,female,1,1
